Category Display Name,Attribute Display Name,Category Name,Attribute Name,Data Type,Input/Output,Description
Property Reference,NOI Growth Year 5,propertyReference,noiGrowthYear5,Decimal,Input-Conditional,"This is only be used if Input Custom Net Operating Income (inputCustomNOI) is set to TRUE. The net operating income growth per year for the property.<br>Expressed in decimal format. For example, 10% is 0.1."
Property Reference,NOI Growth Year 6,propertyReference,noiGrowthYear6,Decimal,Input-Conditional,"This is only be used if Input Custom Net Operating Income (inputCustomNOI) is set to TRUE. The net operating income growth per year for the property.<br>Expressed in decimal format. For example, 10% is 0.1."
Property Reference,NOI Growth Year 7,propertyReference,noiGrowthYear7,Decimal,Input-Conditional,"This is only be used if Input Custom Net Operating Income (inputCustomNOI) is set to TRUE. The net operating income growth per year for the property.<br>Expressed in decimal format. For example, 10% is 0.1."
Property Reference,Input Custom Net Operating Income,propertyReference,inputCustomNOI,Boolean,Input-Conditional,TRUE indicates using the custom net operating income (NOI) growth.
Property Reference,NOI Growth Year 8,propertyReference,noiGrowthYear8,Decimal,Input-Conditional,"This is only be used if Input Custom Net Operating Income (inputCustomNOI) is set to TRUE. The net operating income growth per year for the property.<br>Expressed in decimal format. For example, 10% is 0.1."
Property Reference,NOI Growth Year 9,propertyReference,noiGrowthYear9,Decimal,Input-Conditional,"This is only be used if Input Custom Net Operating Income (inputCustomNOI) is set to TRUE. The net operating income growth per year for the property.<br>Expressed in decimal format. For example, 10% is 0.1."
Property Reference,NOI Growth Year 10,propertyReference,noiGrowthYear10,Decimal,Input-Conditional,"This is only be used if Input Custom Net Operating Income (inputCustomNOI) is set to TRUE. The net operating income growth per year for the property.<br>Expressed in decimal format. For example, 10% is 0.1."
Property Reference,Import Source,propertyReference,importSource,String,Input-Optional,Import source of the data.
Property Reference,Input Tenant Rating,propertyReference,inputTenantRating,Boolean,Input-Conditional,Flag to signify whether to use Tenant Ratings or not. Input True or False. Tenant ratings allow you to quantify the risk in case of credit tenants. Provide Moody's Rating Scale.
Property Reference,Tenant Rating Year 1 ,propertyReference,tenantRatingYear1,String,Input-Conditional,This is only be used if Input Tenant Rating (inputTenantRating) is set to TRUE. Year 1 average tenant rating in Moody's rating scale.
Property Reference,Tenant Rating Year 2,propertyReference,tenantRatingYear2,String,Input-Conditional,This is only be used if Input Tenant Rating (inputTenantRating) is set to TRUE. Year 2 average tenant rating in Moody's rating scale.
Property Reference,Tenant Rating Year 3,propertyReference,tenantRatingYear3,String,Input-Conditional,This is only be used if Input Tenant Rating (inputTenantRating) is set to TRUE. Year 3 average tenant rating in Moody's rating scale.
Property Reference,Tenant Rating Year 4,propertyReference,tenantRatingYear4,String,Input-Conditional,This is only be used if Input Tenant Rating (inputTenantRating) is set to TRUE. Year 4 average tenant rating in Moody's rating scale.
Instrument Reference,Is Borrower Paid,instrumentReference,isBorrowerPaid,Boolean,Input-Optional,"If loan has primary insurance coverage, this indicates whether the policy payee is the borrower or the lender. TRUE inidicates the policy payee is the borrower."
Property Reference,Tenant Rating Year 5,propertyReference,tenantRatingYear5,String,Input-Conditional,This is only be used if Input Tenant Rating (inputTenantRating) is set to TRUE. Year 5 average tenant rating in Moody's rating scale.
Property Reference,Tenant Rating Year 6,propertyReference,tenantRatingYear6,String,Input-Conditional,This is only be used if Input Tenant Rating (inputTenantRating) is set to TRUE. Year 6 average tenant rating in Moody's rating scale.
Property Reference,Tenant Rating Year 7,propertyReference,tenantRatingYear7,String,Input-Conditional,This is only be used if Input Tenant Rating (inputTenantRating) is set to TRUE. Year 7 average tenant rating in Moody's rating scale.
Property Reference,Tenant Rating Year 8,propertyReference,tenantRatingYear8,String,Input-Conditional,This is only be used if Input Tenant Rating (inputTenantRating) is set to TRUE. Year 8 average tenant rating in Moody's rating scale.
Property Reference,Tenant Rating Year 9,propertyReference,tenantRatingYear9,String,Input-Conditional,This is only be used if Input Tenant Rating (inputTenantRating) is set to TRUE. Year 9 average tenant rating in Moody's rating scale.
Property Reference,Tenant Rating Year 10,propertyReference,tenantRatingYear10,String,Input-Conditional,This is only be used if Input Tenant Rating (inputTenantRating) is set to TRUE. Year 10 average tenant rating in Moody's rating scale.
Instrument Reference,Insurance Net Cost,instrumentReference,insuranceNetCost,Amount,Input-Optional,Additional costs such as legal fees and brokerage fees incurred by the lender in selling a foreclosed home expressed in instrument currency. Valid values are 0 or greater.
Instrument Reference,Insurance Termination,instrumentReference,insuranceTermination,Decimal,Input-Optional,"The loan to value (LTV) at which the insurance policy is terminated expressed in decimal format. For example, 10% is 0.1. Valid values are between 0 and 1."
Instrument Reference,Probability Of Non Payment,instrumentReference,probabilityOfNonPayment,Decimal,Input-Optional,"The likelihood that insurance will not be applied to collateral losses (usually as a result of material contractual errors or similar issues, i.e., rescission). Expressed in decimal format. For example, 10% is 0.1. Valid values are between 0 and 1."
Instrument Reference,Premium Frequency,instrumentReference,premiumFrequency,String,Input-Optional,"The frequency at which premiums are paid to a mortgage insurer. Valid values are Annual, Quarterly, and Monthly."
Instrument Reference,Annual Premium,instrumentReference,annualPremium,Decimal,Input-Optional,"The premium paid to the mortgage insurer, paid in any one year, as a fraction of the original loan amount. Expressed in decimal format. For example, 10% is 0.1. Valid values are 0 or greater."
Instrument Reference,Upfront Premium,instrumentReference,upfrontPremium,Decimal,Input-Optional,"A one-time premium paid to the mortgage insurer.Expressed in decimal format. For example, 10% is 0.1. Valid values are 0 or greater."
Instrument Reference,Is Refundable,instrumentReference,isRefundable,Boolean,Input-Optional,TRUE indicates if the insurance premiums are refunded pro-rata.
Instrument Reference,Refund Period,instrumentReference,refundPeriod,Integer,Input-Optional,Time from origination over which Upfront Premium may be refunded pro-rata. Expressed in whole months. For example 1 month is 1. Valid values are 1 or greater.
Instrument Reference,Recovery Lag,instrumentReference,recoveryLag,Integer,Input-Optional,The time it takes for the property to be liquidated after default. This must be provided if the loan has default and a default date is provided. Expressed in whole months. For example 1 month is 1. Valid values are between 0 and 60.
Instrument Reference,Age,instrumentReference,age,Decimal,Output,"The age of the instrument as of reporting date. Expressed as a fraction of a year in decimal format. For example, 1 year and 6 months is 1.5."
Instrument Reference,Age Ratio,instrumentReference,ageRatio,Decimal,Output,The age of the instrument reflected as a fraction of its total term. Expressed as a decimal. For example 10% is 0.1. Valid values are between 0 and 1.
Instrument Reference,Age Ratio Bucket,instrumentReference,ageRatioBucket,String,Output,The bucket for the age ratio.
Instrument Reference,Year to Maturity,instrumentReference,yearToMaturity,Decimal,Input-Required,"The number of years till the instrument matures. This also reflects the effective maturity when the maturity date is not provided. Expressed as a fraction of a year in decimal format. For example, 1 year and 6 months is 1.5. Valid values are 200 or less. Marked as conditional as this is an input from which the maturity date can be derived. Also, marked as conditional as this is required for the disclosure reports. If maturity date is provided and year to maturity is not provided, year to maturity will be calculated from the maturity date."
Instrument Reference,Consumer Product Life,instrumentReference,consumerProductLife,Integer,Input-Optional,The effective life of the instrument expressed in number of months.
Instrument Reference,Consumer Product Term Bucket,instrumentReference,consumerProductTermBucket,String,Input-Optional,The bucket describing the term of the instrument. The values vary by consumer product category. View the list of valid values in the application.
Instrument Reference,Effective Maturity Date,instrumentReference,effectiveMaturityDate,Date,Output,"The effective maturity date of the instrument. Formatted as yyyy-mm-dd. If year to maturity is provided, this value its corresponding date. Otherwise, the value is that from maturity date."
Instrument Reference,Weighted Average Life,instrumentReference,weightedAverageLife,Decimal,Input-Optional,The weighted average life for the instrument. Expressed in number of months.
Instrument Reference,Remaining Maturity,instrumentReference,remainingMaturity,String,Output,"The remaining term to maturity formatted as string . Examples are Due in <= 1 Year, Due in 1-5 years, Due in 5-10 Years, and Due After 10 Years."
Instrument Reference,Origination Year,instrumentReference,originationYear,String,Output,The year from the origination date.
Instrument Reference,Vintage,instrumentReference,vintage,String,Input-Conditional,"ImpairmentStudio calculates the vintage of the instrument from the origination date. Its format is as yyyyQ#, where # is 1, 2, 3, or 4. For the MA Expected Consumer Credit Loss models, vintages prior to 2005 does not adhere to the ImpairmentStudio calculated vintage. For vintages prior to 2005, you must import these vintage values: 1990Q3 for instruments originated prior to 1990, 1995Q3 for origination between 1990 to 1995, and the year + Q3 for 1996 to 2004 (i.e. 1996Q3, 2004Q3)."
Instrument Reference,Vintage Reporting,instrumentReference,vintageReporting,String,Output,"The vintage used for reporting. This value is the year of the origination date except for these cases. For revolving instruments, the value is Revolving loans. For instruments where the period between the origination date and the reporting date is greater than 5 years, the value is Prior."
Instrument Result,Analysis Identifier,instrumentResult,analysisIdentifier,String,Output,The identifier of the analysis from which the results were calculated or the data was used in.
New Business Template,Template Name,newBusinessTemplate,templateName,String,,Unique Name of template. Required field
New Business Template,Maturity Term,newBusinessTemplate,maturityTerm,Decimal,," Term of the instrument, in years, from origination to maturity date"
New Business Template,Facility Identifier,newBusinessTemplate,facilityIdentifier,String,,"The instrument identifier that links the line of credit and its draws. If the instrument is the Line of Credit, this value is the same as its instrument identifier. This is marked as conditional as this is required for line of credit or loans drawn from a line of credit."
New Business Template,Loan/Property Group,newBusinessTemplate,loanPropertyGroupIdentifier,String,,The group to which the loan and property belongs. Marked as conditional as this is a required input for Commercial Mortgage Metrics (CMM) when there is more than one loan and one property in the group.
Instrument Result,Reporting Date,instrumentResult,reportingDate,Date,Output,The date when the financial period ends. Formatted as yyyy-mm-dd.
New Business Template,Loan/Property Group Description,newBusinessTemplate,loanPropertyGroupDescription,String,,The description of the group to which the loan and property belongs.
New Business Template,Loan Accounting System Identifier,newBusinessTemplate,loanAccountingSystemIdentifier,String,,The identifier from the loan accounting system.
New Business Template,Entity Identifier,newBusinessTemplate,entityIdentifier,String,,"An identifier to uniquely identify each entity. Each entity must have one entity identifier. This value will not change over time and cannot be used as the entity identifier for any other entity. Identifiers in ImpairmentStudio should not include any nonpublic, personally identifiable information."
New Business Template,PID,newBusinessTemplate,pid,String,,The Moody's Analytics counterparty identifier.
New Business Template,Obligor Name,newBusinessTemplate,obligorName,String,,"The obligated party (bond issuer, borrower, debtor, insurer, etc.) who has an obligation to repay a debt, make a payment, do something, or to refrain from doing something, under the terms of an agreement. For reinsurance receivable, this value is the reinsurer or assuming entity's identifier. Identifiers in ImpairmentStudio should not include any nonpublic, personally identifiable information. Marked as conditional as this input is required for reinsurance receivables and the value is the reinsurer or assuming entity's identifier."
Instrument Result,Instrument Identifier,instrumentResult,instrumentIdentifier,String,Output,"An identifier to uniquely identify each instrument. Each instrument must have one instrument identifier. This value will not change over time and cannot be used as the instrument identifier for any other instrument. For reinsurance receivable, this value is the treaty identifier. Identifiers in ImpairmentStudio should not include any nonpublic, personally identifiable information."
New Business Template,Entity Type,newBusinessTemplate,entityType,String,,"Type that describes the entity. Valid values include Private Firm, Public Firm, Sovereign, Municipality, Supranational, and SME. Unknown is used when the entity type is not known.<br>Marked as conditional to indicate that this is a required input for RiskCalc LGD and to create the scope for determining which Moody's analytics models to use, such as the MA Public Firm TTC to PIT PD Converter, MA Sovereign TTC to PIT PD Converter, and Muni Loss Forecast Model."
New Business Template,Description,newBusinessTemplate,description,String,,The description.
New Business Template,Portfolio,newBusinessTemplate,portfolioIdentifier,String,,"An identifier to identify the portfolio that each instrument belongs. All portfolio data are linked by its portfolio. Example values are CRE, Retail, etc. When marked as conditional, this is an required input if data is provided in the category (such as instrumentCashFlow)."
New Business Template,Instrument Currency,newBusinessTemplate,instrumentCurrency,String,,The currency denomination of instruments. Valid values are ISO 4217 currency codes.
New Business Template,Company,newBusinessTemplate,company,String,,"The company (branch, holding company, etc.) that this instrument belongs to."
Instrument Result,Portfolio,instrumentResult,portfolioIdentifier,String,Output,"An identifier to identify the portfolio that each instrument belongs. All portfolio data are linked by its portfolio. Example values are CRE, Retail, etc. When marked as conditional, this is an required input if data is provided in the category (such as instrumentCashFlow)."
New Business Template,Import Source,newBusinessTemplate,importSource,String,,Import source of the data.
New Business Template,Issuer,newBusinessTemplate,issuer,String,,The institution who issues the security.
New Business Template,Issuer State,newBusinessTemplate,issuerState,String,,The state or province where the issuer is located. Valid values are 2 letter state abbreviations defined here: https://pe.usps.com/text/pub28/28apb.htm or 2 letter province abbreviations defined here: https://pe.usps.com/text/pub28/28apa_005.htm.<br>Marked as conditional as this is a required input for the MA Muni Loss Forecast model when the CUSIP is not provided.
New Business Template,Issuing Agency,newBusinessTemplate,issuingAgency,String,,"Indicate that the instrument is issued and guaranteed by the agency. Valid values are: Farm Credit System Financial Assistance Corporation, Federal Farm Credit Banks, Federal Home Loan Banks, Federal Home Loan Mortgage Corporation, Federal National Mortgage Association, Government National Mortgage Association, Small Business Administration, and US Government. If no value is provided, the issuing agency is a Private Label. Marked as conditional as this is required for Commercial Mortgage Metrics if the issuing agency is Federal Home Loan Mortgage Corporation or Federal National Mortgage Association. Marked as conditional as this is required for the disclosure reports."
New Business Template,Issue Date,newBusinessTemplate,issueDate,Date,,The issue date of the security. Formatted as yyyy-mm-dd.
Instrument Result,Scenario,instrumentResult,scenarioIdentifier,String,Output,"Identifier for the scenario. Its value should not include blank spaces. <br>For inputs, the scenario describes the assumptions used to produce the inputs. If there are no assumptions, this field should be filled with 0. 0 will be used to retrieve model and market data inputs when no scenarios are selected in scenario settings. For outputs, it is the scenario used to produce the results. In addition, Moody's Analytics uses the value Summary for the weighted average results."
New Business Template,Deal Name,newBusinessTemplate,dealName,String,,The name of the deal.
New Business Template,Deal Update Date,newBusinessTemplate,dealUpdateDate,Date,,The date that the deal snapshot was updated.
New Business Template,CUSIP,newBusinessTemplate,cusip,String,,"CUSIP is an acronym that refers to Committee on Uniform Security Identification Procedures. It is an alphanumeric value. The nine-digit CUSIP identifies securities. American Bankers Association CUSIP Database provided by S&P Global Market Intelligence LLC. Copyright 2019. All rights reserved. <br> When marked as conditional, this is a required input to lookup up model inputs such as the long term rating, PD, R-squared parameters, etc."
