Category Display Name,Attribute Display Name,Category Name,Attribute Name,Data Type,Input/Output,Description
BGldg,Analysis Identifier,BGlgd,analysisIdentifier,String,,The identifier of the analysis from which the results were calculated or the data was used in.
BGldg,As of Date,BGlgd,asOfDate,Date,,"The date when the data snapshot details are relevant. Formatted as yyyy-mm-dd.<br>Marked as conditional as this is a required input if data is provided in the category (such as instrumentCashFlow).<br>For data from CreditLens or RiskAnalyst, this is the date the data is extracted.<br> For the scorecard model, this is the rating assesment date."
BGldg,Asset Class,BGlgd,assetClass,String,,Custom attribute for asset class. <br>Contains the FFIEC Code (index 55) value from the the Interagency Loan Data (ILD) file.
BGldg,LGD,BGlgd,lgd,Decimal,,"The loss given default as a percentage of the exposure. Expressed in decimal format. For example, 10% is 0.1. Valid values are equal to or greater than 0. Valid values for the input LGD into the GCorr model are between 0 and 1."
BGldg,Scenario,BGlgd,scenarioIdentifier,String,,"Identifier for the scenario. Its value should not include blank spaces. <br>For inputs, the scenario describes the assumptions used to produce the inputs. If there are no assumptions, this field should be filled with 0. 0 will be used to retrieve model and market data inputs when no scenarios are selected in scenario settings. For outputs, it is the scenario used to produce the results. In addition, Moody's Analytics uses the value Summary for the weighted average results."
BGldg,Term,BGlgd,term,Decimal,,"The time period for which the value is relevant. Expressed as a fraction of a year in decimal format. For example, 1 year and 6 months is 1.5. Valid values are 200 or less. The term should have a maximum of 4 digit precision and rounded up. This guidance is primarily for the term for the EAD converted from cash flows."
LGD Model Grace,Analysis Identifier,LGDModelGrace,analysisIdentifier,String,,The identifier of the analysis from which the results were calculated or the data was used in.
LGD Model Grace,As of Date,LGDModelGrace,asOfDate,Date,,"The date when the data snapshot details are relevant. Formatted as yyyy-mm-dd.<br>Marked as conditional as this is a required input if data is provided in the category (such as instrumentCashFlow).<br>For data from CreditLens or RiskAnalyst, this is the date the data is extracted.<br> For the scorecard model, this is the rating assesment date."
LGD Model Grace,Asset Class,LGDModelGrace,assetClass,String,,Custom attribute for asset class. <br>Contains the FFIEC Code (index 55) value from the the Interagency Loan Data (ILD) file.
LGD Model Grace,LGD,LGDModelGrace,lgd,Decimal,,"The loss given default as a percentage of the exposure. Expressed in decimal format. For example, 10% is 0.1. Valid values are equal to or greater than 0. Valid values for the input LGD into the GCorr model are between 0 and 1."
LGD Model Grace,Scenario,LGDModelGrace,scenarioIdentifier,String,,"Identifier for the scenario. Its value should not include blank spaces. <br>For inputs, the scenario describes the assumptions used to produce the inputs. If there are no assumptions, this field should be filled with 0. 0 will be used to retrieve model and market data inputs when no scenarios are selected in scenario settings. For outputs, it is the scenario used to produce the results. In addition, Moody's Analytics uses the value Summary for the weighted average results."
LGD Model Grace,Term,LGDModelGrace,term,Decimal,,"The time period for which the value is relevant. Expressed as a fraction of a year in decimal format. For example, 1 year and 6 months is 1.5. Valid values are 200 or less. The term should have a maximum of 4 digit precision and rounded up. This guidance is primarily for the term for the EAD converted from cash flows."
NW entity reference,Analysis Identifier,NW entity reference,analysisIdentifier,String,,The identifier of the analysis from which the results were calculated or the data was used in.
NW entity reference,As of Date,NW entity reference,asOfDate,Date,,"The date when the data snapshot details are relevant. Formatted as yyyy-mm-dd.<br>Marked as conditional as this is a required input if data is provided in the category (such as instrumentCashFlow).<br>For data from CreditLens or RiskAnalyst, this is the date the data is extracted.<br> For the scorecard model, this is the rating assesment date."
NW entity reference,Final PD,NW entity reference,finalPd,Decimal,,"The one-year through-the-cycle (TTC) probability of default (PD) for the company. For CreditLens, the PD can be the quantitative, scorecard, or the rating implied PD. For the scorecard, this PD is one of these PDs, standalone, post parent support, or post government support. Expressed in decimal format. For example, 10% is 0.1.<br> Moodyâ€™s Analytics Market Implied Ratings convert the market assessment of a given company's credit risk into rating terms, enabling you to easily compare credit signals and agency ratings. However, the Moodyâ€™s Analytics Market Implied Ratings do not represent or constitute actual Moodyâ€™s Investors Service, Inc. (MIS) ratings, rating actions or opinions."
BGLGDInput,Analysis Identifier,bgLGDInput,analysisIdentifier,String,Output,The identifier of the analysis from which the results were calculated or the data was used in.
BGLGDInput,As of Date,bgLGDInput,asOfDate,Date,Output,"The date when the data snapshot details are relevant. Formatted as yyyy-mm-dd.<br>Marked as conditional as this is a required input if data is provided in the category (such as instrumentCashFlow).<br>For data from CreditLens or RiskAnalyst, this is the date the data is extracted.<br> For the scorecard model, this is the rating assesment date."
BGLGDInput,Asset Class,bgLGDInput,assetClass,String,Output,Custom attribute for asset class. <br>Contains the FFIEC Code (index 55) value from the the Interagency Loan Data (ILD) file.
BGLGDInput,LGD,bgLGDInput,lgd,Decimal,Output,"The loss given default as a percentage of the exposure. Expressed in decimal format. For example, 10% is 0.1. Valid values are equal to or greater than 0. Valid values for the input LGD into the GCorr model are between 0 and 1."
BGLGDInput,Scenario,bgLGDInput,scenarioIdentifier,String,Output,"Identifier for the scenario. Its value should not include blank spaces. <br>For inputs, the scenario describes the assumptions used to produce the inputs. If there are no assumptions, this field should be filled with 0. 0 will be used to retrieve model and market data inputs when no scenarios are selected in scenario settings. For outputs, it is the scenario used to produce the results. In addition, Moody's Analytics uses the value Summary for the weighted average results."
BGLGDInput,Term,bgLGDInput,term,Decimal,Output,"The time period for which the value is relevant. Expressed as a fraction of a year in decimal format. For example, 1 year and 6 months is 1.5. Valid values are 200 or less. The term should have a maximum of 4 digit precision and rounded up. This guidance is primarily for the term for the EAD converted from cash flows."
custom A,As of Date,customA,asOfDate,Date,,"The date when the data snapshot details are relevant. Formatted as yyyy-mm-dd.<br>Marked as conditional as this is a required input if data is provided in the category (such as instrumentCashFlow).<br>For data from CreditLens or RiskAnalyst, this is the date the data is extracted.<br> For the scorecard model, this is the rating assesment date."
custom A,Consumer Product Category,customA,consumerProductCategory,String,,"The category describing the consumer product. <br> For the Expected Consumer Credit Loss Models, the valid values are: Auto Bank Lease, Auto Bank Loan, Auto Finance Lease, Auto Finance Loan, Bankcard, Consumer Finance Installment, Consumer Finance Revolving, First Mortgage, HELOAN, HELOC, Retail Card, Student Loan, and Other.<br> For Balance Sheet Risk Management, the valid values are: Reverse Mortgage, Solar, and Student Loan."
custom A,Cumulative PD Lifetime,customA,cumulativePDLifetime,Decimal,,"The cumulative probability of default for the life of the instrument. Expressed in decimal format. For example, 10% is 0.1."
custom A,Expected Credit Loss Lifetime at Maturity,customA,eclLifetimeAtMaturity,Decimal,,"The undiscounted expected credit loss. Expressed in decimal format. For example, 10% is 0.1."
custom A,Exposure,customA,exposure,Amount,,"In instrumentReference, this is the remaining exposure (outstanding balance or for lines of credit, the current commitment amount) expressed in instrument currency. For the MA Expected Consumer Credit Loss models, this is the value for the cohort and expressed in USD.<br> In instrument risk metric, this amount is the relevant balance value to use for calculating rates for Capital Risk Analyzer."
custom A,Geography,customA,geography,String,,The state where the instrument originated. Valid values are 2 letter state abbreviations defined here: https://pe.usps.com/text/pub28/28apb.htm.
custom A,LGD,customA,lgd,Decimal,,"The loss given default as a percentage of the exposure. Expressed in decimal format. For example, 10% is 0.1. Valid values are equal to or greater than 0. Valid values for the input LGD into the GCorr model are between 0 and 1."
custom A,Risk Score Band,customA,riskScoreBand,String,,"The risk score band based on the Vantage score at origination. Defined in non-continuous band. Valid values are: 300-529, 530-579, 580-619, 620-659, 660-699, 700-719, 720-739, 740-779, 780-809, 810-850, and MISSING."
custom A,Scenario,customA,scenarioIdentifier,String,,"Identifier for the scenario. Its value should not include blank spaces. <br>For inputs, the scenario describes the assumptions used to produce the inputs. If there are no assumptions, this field should be filled with 0. 0 will be used to retrieve model and market data inputs when no scenarios are selected in scenario settings. For outputs, it is the scenario used to produce the results. In addition, Moody's Analytics uses the value Summary for the weighted average results."
custom A,Vintage,customA,vintage,String,,"ImpairmentStudio calculates the vintage of the instrument from the origination date. Its format is as yyyyQ#, where # is 1, 2, 3, or 4. For the MA Expected Consumer Credit Loss models, vintages prior to 2005 does not adhere to the ImpairmentStudio calculated vintage. For vintages prior to 2005, you must import these vintage values: 1990Q3 for instruments originated prior to 1990, 1995Q3 for origination between 1990 to 1995, and the year + Q3 for 1996 to 2004 (i.e. 1996Q3, 2004Q3)."
custom B,As of Date,customB,asOfDate,Date,,"The date when the data snapshot details are relevant. Formatted as yyyy-mm-dd.<br>Marked as conditional as this is a required input if data is provided in the category (such as instrumentCashFlow).<br>For data from CreditLens or RiskAnalyst, this is the date the data is extracted.<br> For the scorecard model, this is the rating assesment date."
custom B,Consumer Product Category,customB,consumerProductCategory,String,,"The category describing the consumer product. <br> For the Expected Consumer Credit Loss Models, the valid values are: Auto Bank Lease, Auto Bank Loan, Auto Finance Lease, Auto Finance Loan, Bankcard, Consumer Finance Installment, Consumer Finance Revolving, First Mortgage, HELOAN, HELOC, Retail Card, Student Loan, and Other.<br> For Balance Sheet Risk Management, the valid values are: Reverse Mortgage, Solar, and Student Loan."
custom B,Cumulative PD Lifetime,customB,cumulativePDLifetime,Decimal,,"The cumulative probability of default for the life of the instrument. Expressed in decimal format. For example, 10% is 0.1."
custom B,Expected Credit Loss Lifetime at Maturity,customB,eclLifetimeAtMaturity,Decimal,,"The undiscounted expected credit loss. Expressed in decimal format. For example, 10% is 0.1."
custom B,Exposure,customB,exposure,Amount,,"In instrumentReference, this is the remaining exposure (outstanding balance or for lines of credit, the current commitment amount) expressed in instrument currency. For the MA Expected Consumer Credit Loss models, this is the value for the cohort and expressed in USD.<br> In instrument risk metric, this amount is the relevant balance value to use for calculating rates for Capital Risk Analyzer."
custom B,Geography,customB,geography,String,,The state where the instrument originated. Valid values are 2 letter state abbreviations defined here: https://pe.usps.com/text/pub28/28apb.htm.
custom B,LGD,customB,lgd,Decimal,,"The loss given default as a percentage of the exposure. Expressed in decimal format. For example, 10% is 0.1. Valid values are equal to or greater than 0. Valid values for the input LGD into the GCorr model are between 0 and 1."
custom B,Risk Score Band,customB,riskScoreBand,String,,"The risk score band based on the Vantage score at origination. Defined in non-continuous band. Valid values are: 300-529, 530-579, 580-619, 620-659, 660-699, 700-719, 720-739, 740-779, 780-809, 810-850, and MISSING."
custom B,Scenario,customB,scenarioIdentifier,String,,"Identifier for the scenario. Its value should not include blank spaces. <br>For inputs, the scenario describes the assumptions used to produce the inputs. If there are no assumptions, this field should be filled with 0. 0 will be used to retrieve model and market data inputs when no scenarios are selected in scenario settings. For outputs, it is the scenario used to produce the results. In addition, Moody's Analytics uses the value Summary for the weighted average results."
custom B,Vintage,customB,vintage,String,,"ImpairmentStudio calculates the vintage of the instrument from the origination date. Its format is as yyyyQ#, where # is 1, 2, 3, or 4. For the MA Expected Consumer Credit Loss models, vintages prior to 2005 does not adhere to the ImpairmentStudio calculated vintage. For vintages prior to 2005, you must import these vintage values: 1990Q3 for instruments originated prior to 1990, 1995Q3 for origination between 1990 to 1995, and the year + Q3 for 1996 to 2004 (i.e. 1996Q3, 2004Q3)."
customCreditModelEccl,Analysis Identifier,customCreditModelEccl,analysisIdentifier,String,,The identifier of the analysis from which the results were calculated or the data was used in.
customCreditModelEccl,As of Date,customCreditModelEccl,asOfDate,Date,,"The date when the data snapshot details are relevant. Formatted as yyyy-mm-dd.<br>Marked as conditional as this is a required input if data is provided in the category (such as instrumentCashFlow).<br>For data from CreditLens or RiskAnalyst, this is the date the data is extracted.<br> For the scorecard model, this is the rating assesment date."
customCreditModelEccl,Assumed Cohort Lifetime,customCreditModelEccl,assumedCohortLifetime,Decimal,,"The assumed cohort lifetime. Expressed as a fraction of a year in decimal format. For example, 1 year and 6 months is 1.5."
customCreditModelEccl,Consumer Product Category,customCreditModelEccl,consumerProductCategory,String,,"The category describing the consumer product. <br> For the Expected Consumer Credit Loss Models, the valid values are: Auto Bank Lease, Auto Bank Loan, Auto Finance Lease, Auto Finance Loan, Bankcard, Consumer Finance Installment, Consumer Finance Revolving, First Mortgage, HELOAN, HELOC, Retail Card, Student Loan, and Other.<br> For Balance Sheet Risk Management, the valid values are: Reverse Mortgage, Solar, and Student Loan."
customCreditModelEccl,Credit Impaired,customCreditModelEccl,creditImpaired,Boolean,,"Indicates if the instrument is credit impaired. TRUE indicates the instrument is Credit Impaired. If a value is not imported, ImpairmentStudio assume the value is FALSE."
customCreditModelEccl,Cumulative PD Lifetime,customCreditModelEccl,cumulativePDLifetime,Decimal,,"The cumulative probability of default for the life of the instrument. Expressed in decimal format. For example, 10% is 0.1."
customCreditModelEccl,Expected Credit Loss Amount Lifetime,customCreditModelEccl,eclAmountLifetime,Amount,,The expected credit loss amount expressed in USD.
customCreditModelEccl,Expected Credit Loss Lifetime,customCreditModelEccl,eclLifetime,Decimal,,"The expected credit loss for the life of the instrument. Expressed in decimal format. For example, 10% is 0.1.<br>ImpairmentStudio does not produce a value for this field found in instrument result."
customCreditModelEccl,Expected Credit Loss Lifetime at Maturity,customCreditModelEccl,eclLifetimeAtMaturity,Decimal,,"The undiscounted expected credit loss. Expressed in decimal format. For example, 10% is 0.1."
customCreditModelEccl,Exposure,customCreditModelEccl,exposure,Amount,,"In instrumentReference, this is the remaining exposure (outstanding balance or for lines of credit, the current commitment amount) expressed in instrument currency. For the MA Expected Consumer Credit Loss models, this is the value for the cohort and expressed in USD.<br> In instrument risk metric, this amount is the relevant balance value to use for calculating rates for Capital Risk Analyzer."
customCreditModelEccl,FICO Score,customCreditModelEccl,ficoScore,Integer,,The borrower's FICO credit score.
customCreditModelEccl,Geography,customCreditModelEccl,geography,String,,The state where the instrument originated. Valid values are 2 letter state abbreviations defined here: https://pe.usps.com/text/pub28/28apb.htm.
customCreditModelEccl,LGD,customCreditModelEccl,lgd,Decimal,,"The loss given default as a percentage of the exposure. Expressed in decimal format. For example, 10% is 0.1. Valid values are equal to or greater than 0. Valid values for the input LGD into the GCorr model are between 0 and 1."
customCreditModelEccl,Risk Score Band,customCreditModelEccl,riskScoreBand,String,,"The risk score band based on the Vantage score at origination. Defined in non-continuous band. Valid values are: 300-529, 530-579, 580-619, 620-659, 660-699, 700-719, 720-739, 740-779, 780-809, 810-850, and MISSING."
customCreditModelEccl,Scenario,customCreditModelEccl,scenarioIdentifier,String,,"Identifier for the scenario. Its value should not include blank spaces. <br>For inputs, the scenario describes the assumptions used to produce the inputs. If there are no assumptions, this field should be filled with 0. 0 will be used to retrieve model and market data inputs when no scenarios are selected in scenario settings. For outputs, it is the scenario used to produce the results. In addition, Moody's Analytics uses the value Summary for the weighted average results."
customCreditModelEccl,Vintage,customCreditModelEccl,vintage,String,,"ImpairmentStudio calculates the vintage of the instrument from the origination date. Its format is as yyyyQ#, where # is 1, 2, 3, or 4. For the MA Expected Consumer Credit Loss models, vintages prior to 2005 does not adhere to the ImpairmentStudio calculated vintage. For vintages prior to 2005, you must import these vintage values: 1990Q3 for instruments originated prior to 1990, 1995Q3 for origination between 1990 to 1995, and the year + Q3 for 1996 to 2004 (i.e. 1996Q3, 2004Q3)."
Custom Credit Model MCC,Analysis Identifier,customCreditModelMCC,analysisIdentifier,String,,The identifier of the analysis from which the results were calculated or the data was used in.
Custom Credit Model MCC,Annualized Cumulative PD,customCreditModelMCC,annualizedCumulativePD,Decimal,,"The annualized cumulative probability of default. Expressed in decimal format. For example, 10% is 0.1. Valid values are between 0 and 1."
Custom Credit Model MCC,As of Date,customCreditModelMCC,asOfDate,Date,,"The date when the data snapshot details are relevant. Formatted as yyyy-mm-dd.<br>Marked as conditional as this is a required input if data is provided in the category (such as instrumentCashFlow).<br>For data from CreditLens or RiskAnalyst, this is the date the data is extracted.<br> For the scorecard model, this is the rating assesment date."
Custom Credit Model MCC,Consumer Product Category,customCreditModelMCC,consumerProductCategory,String,,"The category describing the consumer product. <br> For the Expected Consumer Credit Loss Models, the valid values are: Auto Bank Lease, Auto Bank Loan, Auto Finance Lease, Auto Finance Loan, Bankcard, Consumer Finance Installment, Consumer Finance Revolving, First Mortgage, HELOAN, HELOC, Retail Card, Student Loan, and Other.<br> For Balance Sheet Risk Management, the valid values are: Reverse Mortgage, Solar, and Student Loan."
Custom Credit Model MCC,Custom Consumer Product Category,customCreditModelMCC,customConsumerProductCategory,String,,custom Consumer Product
Custom Credit Model MCC,EAD,customCreditModelMCC,ead,Decimal,,"The exposure at default which is the expected exposure given default as a proportion the reporting date unpaid principal balance. Expressed in decimal format. For example, 10% is 0.1. Valid values are 0 or greater. Required when EAD source is EAD factor."
Custom Credit Model MCC,Exposure,customCreditModelMCC,exposure,Amount,,"In instrumentReference, this is the remaining exposure (outstanding balance or for lines of credit, the current commitment amount) expressed in instrument currency. For the MA Expected Consumer Credit Loss models, this is the value for the cohort and expressed in USD.<br> In instrument risk metric, this amount is the relevant balance value to use for calculating rates for Capital Risk Analyzer."
Custom Credit Model MCC,Geography,customCreditModelMCC,geography,String,,The state where the instrument originated. Valid values are 2 letter state abbreviations defined here: https://pe.usps.com/text/pub28/28apb.htm.
Custom Credit Model MCC,LGD,customCreditModelMCC,lgd,Decimal,,"The loss given default as a percentage of the exposure. Expressed in decimal format. For example, 10% is 0.1. Valid values are equal to or greater than 0. Valid values for the input LGD into the GCorr model are between 0 and 1."
Custom Credit Model MCC,oTerm,customCreditModelMCC,oTerm,String,,The term.
Custom Credit Model MCC,Prepayment Rate,customCreditModelMCC,prepaymentrate,Decimal,,"The annualized cumulative prepayment rate. Expressed in decimal format. For example, 10% is 0.1. Valid values are between 0 and 1."
Custom Credit Model MCC,Risk Score Band,customCreditModelMCC,riskScoreBand,String,,"The risk score band based on the Vantage score at origination. Defined in non-continuous band. Valid values are: 300-529, 530-579, 580-619, 620-659, 660-699, 700-719, 720-739, 740-779, 780-809, 810-850, and MISSING."
Custom Credit Model MCC,Scenario,customCreditModelMCC,scenarioIdentifier,String,,"Identifier for the scenario. Its value should not include blank spaces. <br>For inputs, the scenario describes the assumptions used to produce the inputs. If there are no assumptions, this field should be filled with 0. 0 will be used to retrieve model and market data inputs when no scenarios are selected in scenario settings. For outputs, it is the scenario used to produce the results. In addition, Moody's Analytics uses the value Summary for the weighted average results."
Custom Credit Model MCC,Term,customCreditModelMCC,term,Decimal,,"The time period for which the value is relevant. Expressed as a fraction of a year in decimal format. For example, 1 year and 6 months is 1.5. Valid values are 200 or less. The term should have a maximum of 4 digit precision and rounded up. This guidance is primarily for the term for the EAD converted from cash flows."
Custom Credit Model MCC,Vintage,customCreditModelMCC,vintage,String,,"ImpairmentStudio calculates the vintage of the instrument from the origination date. Its format is as yyyyQ#, where # is 1, 2, 3, or 4. For the MA Expected Consumer Credit Loss models, vintages prior to 2005 does not adhere to the ImpairmentStudio calculated vintage. For vintages prior to 2005, you must import these vintage values: 1990Q3 for instruments originated prior to 1990, 1995Q3 for origination between 1990 to 1995, and the year + Q3 for 1996 to 2004 (i.e. 1996Q3, 2004Q3)."
Custom Credit Model MCC2,Analysis Identifier,customCreditModelMCC2,analysisIdentifier,String,,The identifier of the analysis from which the results were calculated or the data was used in.
Custom Credit Model MCC2,Annualized Cumulative PD,customCreditModelMCC2,annualizedCumulativePD,Decimal,,"The annualized cumulative probability of default. Expressed in decimal format. For example, 10% is 0.1. Valid values are between 0 and 1."
Custom Credit Model MCC2,As of Date,customCreditModelMCC2,asOfDate,Date,,"The date when the data snapshot details are relevant. Formatted as yyyy-mm-dd.<br>Marked as conditional as this is a required input if data is provided in the category (such as instrumentCashFlow).<br>For data from CreditLens or RiskAnalyst, this is the date the data is extracted.<br> For the scorecard model, this is the rating assesment date."
Custom Credit Model MCC2,Custom Consumer Product Category,customCreditModelMCC2,customconsumerProductCategory,String,,custom Consumer Product
Custom Credit Model MCC2,EAD,customCreditModelMCC2,ead,Decimal,,"The exposure at default which is the expected exposure given default as a proportion the reporting date unpaid principal balance. Expressed in decimal format. For example, 10% is 0.1. Valid values are 0 or greater. Required when EAD source is EAD factor."
Custom Credit Model MCC2,Exposure,customCreditModelMCC2,exposure,Amount,,"In instrumentReference, this is the remaining exposure (outstanding balance or for lines of credit, the current commitment amount) expressed in instrument currency. For the MA Expected Consumer Credit Loss models, this is the value for the cohort and expressed in USD.<br> In instrument risk metric, this amount is the relevant balance value to use for calculating rates for Capital Risk Analyzer."
Custom Credit Model MCC2,Geography,customCreditModelMCC2,geography,String,,The state where the instrument originated. Valid values are 2 letter state abbreviations defined here: https://pe.usps.com/text/pub28/28apb.htm.
Custom Credit Model MCC2,LGD,customCreditModelMCC2,lgd,Decimal,,"The loss given default as a percentage of the exposure. Expressed in decimal format. For example, 10% is 0.1. Valid values are equal to or greater than 0. Valid values for the input LGD into the GCorr model are between 0 and 1."
Custom Credit Model MCC2,Risk Score Band,customCreditModelMCC2,riskScoreBand,String,,"The risk score band based on the Vantage score at origination. Defined in non-continuous band. Valid values are: 300-529, 530-579, 580-619, 620-659, 660-699, 700-719, 720-739, 740-779, 780-809, 810-850, and MISSING."
Custom Credit Model MCC2,Scenario,customCreditModelMCC2,scenarioIdentifier,String,,"Identifier for the scenario. Its value should not include blank spaces. <br>For inputs, the scenario describes the assumptions used to produce the inputs. If there are no assumptions, this field should be filled with 0. 0 will be used to retrieve model and market data inputs when no scenarios are selected in scenario settings. For outputs, it is the scenario used to produce the results. In addition, Moody's Analytics uses the value Summary for the weighted average results."
Custom Credit Model MCC2,Term,customCreditModelMCC2,term,Decimal,,"The time period for which the value is relevant. Expressed as a fraction of a year in decimal format. For example, 1 year and 6 months is 1.5. Valid values are 200 or less. The term should have a maximum of 4 digit precision and rounded up. This guidance is primarily for the term for the EAD converted from cash flows."
Custom Credit Model MCC2,Vintage,customCreditModelMCC2,vintage,String,,"ImpairmentStudio calculates the vintage of the instrument from the origination date. Its format is as yyyyQ#, where # is 1, 2, 3, or 4. For the MA Expected Consumer Credit Loss models, vintages prior to 2005 does not adhere to the ImpairmentStudio calculated vintage. For vintages prior to 2005, you must import these vintage values: 1990Q3 for instruments originated prior to 1990, 1995Q3 for origination between 1990 to 1995, and the year + Q3 for 1996 to 2004 (i.e. 1996Q3, 2004Q3)."
customPrepayment,Scenario,customPrepayment,ScenarioIdentifier,String,,"Identifier for the scenario. Its value should not include blank spaces. <br>For inputs, the scenario describes the assumptions used to produce the inputs. If there are no assumptions, this field should be filled with 0. 0 will be used to retrieve model and market data inputs when no scenarios are selected in scenario settings. For outputs, it is the scenario used to produce the results. In addition, Moody's Analytics uses the value Summary for the weighted average results."
customPrepayment,As of Date,customPrepayment,asOfDate,Date,,"The date when the data snapshot details are relevant. Formatted as yyyy-mm-dd.<br>Marked as conditional as this is a required input if data is provided in the category (such as instrumentCashFlow).<br>For data from CreditLens or RiskAnalyst, this is the date the data is extracted.<br> For the scorecard model, this is the rating assesment date."
customPrepayment,Interest Rate Type,customPrepayment,interestRateType,String,,"The interest rate type of the instrument. Also known as the coupon type. Valid values are Fixed, Variable, and Other. Marked as conditional to indicate that this is a required input for disclosure reports and/or cash flow generation. Also marked as conditional as this an input for determining the initial effective interest rate for DCF: Loss Cash Flow when the initial effective interest rate is not provided."
customPrepayment,Prepayment Rate,customPrepayment,prepaymentRate,Decimal,,"The annualized cumulative prepayment rate. Expressed in decimal format. For example, 10% is 0.1. Valid values are between 0 and 1."
customPrepayment,Term,customPrepayment,term,Decimal,,"The time period for which the value is relevant. Expressed as a fraction of a year in decimal format. For example, 1 year and 6 months is 1.5. Valid values are 200 or less. The term should have a maximum of 4 digit precision and rounded up. This guidance is primarily for the term for the EAD converted from cash flows."
New Category,newAttribute,exampleCategory,exampleAttribute,String,Output,
New Category,newAttribute,exampleCategory1,exampleAttribute,String,,
New Category,newAttribute3,exampleCategory3,exampleAttribute3,Decimal,,
Instrument Reference,Troubled Loan Modification Type PDMDemo,instrumentReference,NW_ModificationTypePDMDemo,Integer,,Test.
Instrument Reference,Custom Consumer Product Category,instrumentReference,customConsumerProductCategory,String,,custom Consumer Product
Instrument Reference,Demo Custom Dimension 1,instrumentReference,demoCustomDimension1,String,,Demo
Instrument Reference,oTerm,instrumentReference,oTerm,String,,The term.
Instrument Reference,tcfavgamortizedcostsbcs,instrumentReference,tcfavgamortizedcostsbcs,String,,Custom field.
lgdBG,Analysis Identifier,lgdBG,analysisIdentifier,String,,The identifier of the analysis from which the results were calculated or the data was used in.
lgdBG,As of Date,lgdBG,asOfDate,Date,,"The date when the data snapshot details are relevant. Formatted as yyyy-mm-dd.<br>Marked as conditional as this is a required input if data is provided in the category (such as instrumentCashFlow).<br>For data from CreditLens or RiskAnalyst, this is the date the data is extracted.<br> For the scorecard model, this is the rating assesment date."
lgdBG,Asset Class,lgdBG,assetClass,String,,Custom attribute for asset class. <br>Contains the FFIEC Code (index 55) value from the the Interagency Loan Data (ILD) file.
lgdBG,LGD,lgdBG,lgd,Decimal,,"The loss given default as a percentage of the exposure. Expressed in decimal format. For example, 10% is 0.1. Valid values are equal to or greater than 0. Valid values for the input LGD into the GCorr model are between 0 and 1."
lgdBG,Scenario,lgdBG,scenarioIdentifier,String,,"Identifier for the scenario. Its value should not include blank spaces. <br>For inputs, the scenario describes the assumptions used to produce the inputs. If there are no assumptions, this field should be filled with 0. 0 will be used to retrieve model and market data inputs when no scenarios are selected in scenario settings. For outputs, it is the scenario used to produce the results. In addition, Moody's Analytics uses the value Summary for the weighted average results."
lgdBG,Term,lgdBG,term,Decimal,,"The time period for which the value is relevant. Expressed as a fraction of a year in decimal format. For example, 1 year and 6 months is 1.5. Valid values are 200 or less. The term should have a maximum of 4 digit precision and rounded up. This guidance is primarily for the term for the EAD converted from cash flows."
lgdGrace,Analysis Identifier,lgdGrace,analysisIdentifier,String,,The identifier of the analysis from which the results were calculated or the data was used in.
lgdGrace,As of Date,lgdGrace,asOfDate,Date,,"The date when the data snapshot details are relevant. Formatted as yyyy-mm-dd.<br>Marked as conditional as this is a required input if data is provided in the category (such as instrumentCashFlow).<br>For data from CreditLens or RiskAnalyst, this is the date the data is extracted.<br> For the scorecard model, this is the rating assesment date."
lgdGrace,Asset Class,lgdGrace,assetClass,String,,Custom attribute for asset class. <br>Contains the FFIEC Code (index 55) value from the the Interagency Loan Data (ILD) file.
lgdGrace,LGD,lgdGrace,lgd,Decimal,,"The loss given default as a percentage of the exposure. Expressed in decimal format. For example, 10% is 0.1. Valid values are equal to or greater than 0. Valid values for the input LGD into the GCorr model are between 0 and 1."
lgdGrace,Scenario,lgdGrace,scenarioIdentifier,String,,"Identifier for the scenario. Its value should not include blank spaces. <br>For inputs, the scenario describes the assumptions used to produce the inputs. If there are no assumptions, this field should be filled with 0. 0 will be used to retrieve model and market data inputs when no scenarios are selected in scenario settings. For outputs, it is the scenario used to produce the results. In addition, Moody's Analytics uses the value Summary for the weighted average results."
lgdGrace,Term,lgdGrace,term,Decimal,,"The time period for which the value is relevant. Expressed as a fraction of a year in decimal format. For example, 1 year and 6 months is 1.5. Valid values are 200 or less. The term should have a maximum of 4 digit precision and rounded up. This guidance is primarily for the term for the EAD converted from cash flows."
Test Category,test Attribute,testCategoryNew,testNew,String,,
testnew1,testnew1,testnew1,testnew1,Decimal,Output,The loss given default.
Instrument Reference,agCountrylgdRating,instrumentReference,agCountrylgdRating,String,,Custom field.
Instrument Reference,tcfFinancialCategory,instrumentReference,tcfFinancialCategory,String,,Custom field
Instrument Reference,Analysis Identifier,instrumentReference,analysisIdentifier,String,Output,The identifier of the analysis from which the results were calculated or the data was used in.
Instrument Reference,Reporting Date,instrumentReference,reportingDate,Date,Input-Optional,The date when the financial period ends. Formatted as yyyy-mm-dd.
Property Reference,Analysis Identifier,propertyReference,analysisIdentifier,String,Output,The identifier of the analysis from which the results were calculated or the data was used in.
Property Reference,Reporting Date,propertyReference,reportingDate,Date,Output,The date when the financial period ends. Formatted as yyyy-mm-dd.
