tenantIdentifier,macroeconomicVariableName,macroeconomicVariableDescription,macroeconomicVariableType,macroeconomicVariableUnits,macroeconomicVariableCurrency,macroeconomicVariableFactor,scenarioStudioMnemonics,databuffetMnemonic
moodys,"USA NewYork-Newark-JerseyCity, NY-NJ-PA House Price Index Case-Shiller",,,Level,USD,1000,FHCLHP1TIM_IUSA_MNWY,FHCLHP1TIM.IUSA_MNWY
moodys,"USA PanamaCity, FL House Price Index Case-Shiller",,,Level,USD,1000,FHCLHP1TIM_IUSA_MPNM,FHCLHP1TIM.IUSA_MPNM
moodys,"USA Poughkeepsie-Newburgh-Middletown, NY House Price Index Case-Shiller",,,Level,USD,1000,FHCLHP1TIM_IUSA_MPOU,FHCLHP1TIM.IUSA_MPOU
moodys,"USA PrescottValley-Prescott, AZ House Price Index Case-Shiller",,,Level,USD,1000,FHCLHP1TIM_IUSA_MPVP,FHCLHP1TIM.IUSA_MPVP
moodys,"USA RapidCity, SD House Price Index Case-Shiller",,,Level,USD,1000,FHCLHP1TIM_IUSA_MRPD,FHCLHP1TIM.IUSA_MRPD
moodys,"USA SanAngelo, TX House Price Index Case-Shiller",,,Level,USD,1000,FHCLHP1TIM_IUSA_MSNA,FHCLHP1TIM.IUSA_MSNA
moodys,"USA Spokane-SpokaneValley, WA House Price Index Case-Shiller",,,Level,USD,1000,FHCLHP1TIM_IUSA_MSPK,FHCLHP1TIM.IUSA_MSPK
moodys,"USA Shreveport-BossierCity, LA House Price Index Case-Shiller",,,Level,USD,1000,FHCLHP1TIM_IUSA_MSRV,FHCLHP1TIM.IUSA_MSRV
moodys,"USA SiouxCity, IA-NE-SD House Price Index Case-Shiller",,,Level,USD,1000,FHCLHP1TIM_IUSA_MSXC,FHCLHP1TIM.IUSA_MSXC
moodys,"USA TerreHaute, IN House Price Index Case-Shiller",,,Level,USD,1000,FHCLHP1TIM_IUSA_MTRH,FHCLHP1TIM.IUSA_MTRH
moodys,"USA VirginiaBeach-Norfolk-NewportNews, VA-NC House Price Index Case-Shiller",,,Level,USD,1000,FHCLHP1TIM_IUSA_MVGB,FHCLHP1TIM.IUSA_MVGB
moodys,"USA WallaWalla, WA House Price Index Case-Shiller",,,Level,USD,1000,FHCLHP1TIM_IUSA_MWLL,FHCLHP1TIM.IUSA_MWLL
moodys,"USA WarnerRobins, GA House Price Index Case-Shiller",,,Level,USD,1000,FHCLHP1TIM_IUSA_MWRN,FHCLHP1TIM.IUSA_MWRN
moodys,"USA Wausau-Weston, WI House Price Index Case-Shiller",,,Level,USD,1000,FHCLHP1TIM_IUSA_MWUS,FHCLHP1TIM.IUSA_MWUS
moodys,"USA Yauco, PR House Price Index Case-Shiller",,,Level,USD,1000,FHCLHP1TIM_IUSA_MYAU,FHCLHP1TIM.IUSA_MYAU
moodys,"USA Blacksburg-Christiansburg, VA Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MBLK
moodys,"USA Beaumont-PortArthur, TX Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MBMN
moodys,"USA BatonRouge, LA Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MBTR
moodys,"USA CorpusChristi, TX Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MCRP
moodys,"USA Dallas-FortWorth-Arlington, TX Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MDLL
moodys,"USA Durham-ChapelHill, NC Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MDRH
moodys,"USA DesMoines-WestDesMoines, IA Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MDSM
moodys,"USA Dayton-Kettering, OH Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MDTK
moodys,"USA FortSmith, AR-OK Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MFSM
moodys,"USA FortWayne, IN Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MFWY
moodys,"USA Fayetteville-Springdale-Rogers, AR Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MFYT
moodys,"USA Gulfport-Biloxi, MS Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MGPT
moodys,"USA GrandIsland, NE Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MGRI
moodys,"USA GrandRapids-Kentwood, MI Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MGRR
moodys,"USA Lafayette-WestLafayette, IN Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MLFY
moodys,"USA Lansing-EastLansing, MI Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MLNS
moodys,"USA Louisville/JeffersonCounty, KY-IN Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MLSV
moodys,"USA Minneapolis-St.Paul-Bloomington, MN-WI Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MMNN
moodys,"USA NewYork-Newark-JerseyCity, NY-NJ-PA Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MNWY
moodys,"USA PanamaCity, FL Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MPNM
moodys,"USA Poughkeepsie-Newburgh-Middletown, NY Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MPOU
moodys,"USA PrescottValley-Prescott, AZ Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MPVP
moodys,"USA RapidCity, SD Unemployment Rate Monthly",,,Percentage,,,,FLBR.IUSA_MRPD
