tenantIdentifier,macroeconomicVariableName,macroeconomicVariableDescription,macroeconomicVariableType,macroeconomicVariableUnits,macroeconomicVariableCurrency,macroeconomicVariableFactor,scenarioStudioMnemonics,databuffetMnemonic
moodys,USA Real GDP Growth,,,Percentage,,,(ANNPCT(FGDP$_US)),(ANNPCT(FGDP$.IUSA))
moodys,USA Nominal GDP Growth,,,Percentage,,,(ANNPCT(FGDP_US)),(ANNPCT(FGDP.IUSA))
moodys,USA Real Disposable Income Growth,,,Percentage,,,(ANNPCT(FYPDPI$Q_US)),(ANNPCT(FYPDPI$Q.IUSA))
moodys,USA Nominal Income Growth,,,Percentage,,,(ANNPCT(FYPDPIQ_US)),(ANNPCT(FYPDPIQ.IUSA))
moodys,USA Unemployment Rate,,,Percentage,,,FLBR_US,FLBR.IUSA
moodys,USA Unemployment Rate Monthly,,,Percentage,,,,FLBR.IUSA
moodys,USA CPI Inflation Growth,,,Percentage,,,(ANNPCT(FCPIU_US)),(ANNPCT(FCPIU.IUSA))
moodys,US Treasury 3 Month,,Interest Rate,Percentage,,,FRTB3M_US,FRTB3M.IUSA
moodys,US Treasury 10 Year,,Interest Rate,Percentage,,,FRGT10Y_US,FRGT10Y.IUSA
moodys,USA BAA Yield,,,Percentage,,,FRBBBQ_US,FRBBBQ.IUSA
moodys,USA Mortgage Rate Freddie Mac 30 Year,,Interest Rate,Percentage,,,FRFHLMCFM_US,FRFHLMCFM.IUSA
moodys,USA Equity Dow Jones Total Stock Market Index,,,Level,USD,,FDJMIIUSDDWCFTDQ_US,FDJMIIUSDDWCFTDQ.IUSA
moodys,USA CPI Inflation Rate,,,Level,,,FCPIU_US,FCPIU.IUSA
moodys,USA Commercial Real Estate Price Index,,,Level,,,FZFL075035503Q_US,FZFL075035503Q.IUSA
moodys,USA Market Volatility Index,,,Level,,,FCBOEVIXHQ_US,FCBOEVIXHQ.IUSA
moodys,Asia FX,,Exchange Rate,Level,,,FTFXIUSA_IFDAS,FTFXIUSAQ.IFDAS
moodys,Asia Real GDP Growth,,,Percentage,,,(ANNPCT(FGDP$_IFDAS)),(ANNPCT(FGDPD$Q.IFDAS))
moodys,Asia Inflation Growth,,,Percentage,,,(ANNPCT(FCPI_IFDAS)),(ANNPCT(FCPIQ.IFDAS))
moodys,Eurozone Real GDP Growth,,,Percentage,,,(ANNPCT(FGDP$_IEUZN)),(ANNPCT(FGDPL$Q.IEUZN))
moodys,Eurozone FX (EUR/USD),,Exchange Rate,Level,,,FTFXIUSAQ_IEUZN,FTFXIUSAQ.IEUZN
moodys,Eurozone Inflation Growth,,,Percentage,,,(ANNPCT(FCPIH_IEUZN)),(ANNPCT(FHCPIQ.IEUZN))
moodys,Japan FX (USD/JPY),,Exchange Rate,Level,,,FTFXIUSA_IJPN,FTFXIUSAQ.IJPN
moodys,Japan Inflation Growth,,,Percentage,,,(ANNPCT(FCPI_IJPN)),(ANNPCT(FCPIQ.IJPN))
moodys,Japan Real GDP Growth,,,Percentage,,,(ANNPCT(FGDP$_IJPN)),(ANNPCT(FGDPL$Q.IJPN))
moodys,UK Real GDP Growth,,,Percentage,,,(ANNPCT(FGDP$_IGBR)),(ANNPCT(FGDPL$Q.IGBR))
moodys,UK FX (GBP/USD),,Exchange Rate,Level,,,FTFXIUSA_IGBR,FTFXIUSAQ.IGBR
moodys,UK Inflation Growth,,,Percentage,,,(ANNPCT(FCPI_IGBR)),(ANNPCT(FCPIQ.IGBR))
moodys,US Treasury 5 Year,,Interest Rate,Percentage,,,FRGT5Y_US,FRGT5Y.IUSA
moodys,USD Prime Rate,,Interest Rate,Percentage,,,FRPRIME_US,FRPRIME.IUSA
moodys,USA BBB Spread,,,Percentage,,,(FRBBBQ_US-FRGT10Y_US),(FRBBBQ.IUSA-FRGT10Y.IUSA)
moodys,USD Swap Rate 3 Year,,Interest Rate,Percentage,,,FIRSWP3YQ_US,FIRSWP3YQ.IUSA
moodys,USA Average Hourly Earnings,,,Level,USD,,FAHETP_US,FAHETP.IUSA
moodys,USA Consumption,,,Level,USD,1000000000,FC$_US,FC$.IUSA
moodys,USA Consumer Confidence Index,,,Level,,,FCBC_US,FCBC.IUSA
moodys,USA Inflation,,,Level,,,,FCPIQ.IUSA
moodys,USA Equity S&P 500,,,Level,,,FSP500Q_US,FSP500Q.IUSA
moodys,USA Per Capita Income,,,Level,USD,,FYPCPI$Q_US,FYPCPI$Q.IUSA
moodys,USA Real GDP,,,Level,USD,1000000000,FGDP$_US,FGDP$.IUSA
moodys,Oil Price WTI,,,Level,USD,,FCPWTI_US,FCPWTI.IUSA
moodys,USA Nonfarm Employment,,,Level,,1000000,FET_US,FET.IUSA
moodys,USA Number of Households,,,Level,,1000,FHHOLDQ_US,FHHOLDQ.IUSA
moodys,USA House Price Index FHFA,,,Level,,,FHOFHOPIQ_US,FHOFHOPIQ.IUSA
moodys,USA Implicit Price Deflator - GDP,,,Level,,,FPDIGDP_US,FPDIGDP.IUSA
moodys,USA Population,,,Level,,1000000,FPOPQ_US,FPOPQ.IUSA
moodys,USA Baa Corporate Yield,,Interest Rate,Percentage,,,FRBAAC_US,FRBAAC.IUSA
moodys,USD Federal Funds Rate,,Interest Rate,Percentage,,,FRFED_US,FRFED.IUSA
moodys,Commodity Index Proxy by Oil,,,Level,USD,,,FCPWTI.IUSA
moodys,USA Nominal Personal Income,,,Level,USD,1000000000,FYPQ_US,FYPQ.IUSA
moodys,USA CRE Price Index - Apartment,,,Level,,,FCREPAPTI_US,FCRNCPPIAPTUQ.IUSA
moodys,USA Median House Price,,,Level,USD,1000,FHX1MED_US,FHX1MED.IUSA
moodys,USA Housing Affordability Index,,,Level,,,FHXAFF_US,FHXAFF.IUSA
moodys,USA Fixed Investment - Nonresidential,,,Level,USD,1000000000,FIFN$_US,FIFN$.IUSA
moodys,US Treasury 1 Year,,Interest Rate,Percentage,,,FRGT1Y_US,FRGT1Y.IUSA
moodys,US Treasury 6 Month,,Interest Rate,Percentage,,,FRTB6M_US,FRTB6M.IUSA
moodys,USD LIBOR 12 Month,,Interest Rate,Percentage,,,FRILIBOR12M_US,FRILIBOR12M.IUSA
moodys,USD LIBOR 1 Month,,Interest Rate,Percentage,,,FRILIBOR1M_US,FRILIBOR1M.IUSA
moodys,USD LIBOR 3 Month,,Interest Rate,Percentage,,,FRILIBOR3M_US,FRILIBOR3M.IUSA
moodys,USD LIBOR 6 Month,,Interest Rate,Percentage,,,FRILIBOR6M_US,FRILIBOR6M.IUSA
moodys,USA LIBOR 6 Month Spread,,,Percentage,,,(FRILIBOR6M_US-FRTB6M_US),(FRILIBOR6M.IUSA-FRTB6M.IUSA)
moodys,USA Mortgage Rate Freddie Mac 5 Year,,Interest Rate,Percentage,,,FRFHLMCA5Q_US,FRFHLMCA5Q.IUSA
moodys,USA Mortgage Rate Freddie Mac 15 Year,,Interest Rate,Percentage,,,FRFHLMCF15Q_US,FRFHLMCF15Q.IUSA
moodys,USA Vehicle Sales,,,Level,,1000000,FRVEHL_US,FRVEHL.IUSA
moodys,USA Used Car Index,,,Level,,,FMUVIM_US,FMUVIM.IUSA
moodys,USA Used Cars and Trucks,,,Level,,,FCPIUETA02_US,FCPIUETA02.IUSA
moodys,USA Used Car Index year over year change,,,Percentage,,,(YTYPCT(FMUVIM_US)),(YTYPCT(FMUVIM.IUSA))
moodys,USA Consumer Housing year over year change,,,Percentage,,,(YTYPCT(FCPIUAH_US)),(YTYPCT(FCPIUAH.IUSA))
moodys,USA Average Hourly Earnings year over year change,,,Percentage,,,(YTYPCT(FAHETP_US)),(YTYPCT(FAHETP.IUSA))
moodys,USA Fixed Investments,,,Level,USD,1000000000,FIF$_US,FIF$.IUSA
moodys,USA Exports,,,Level,USD,1000000000,FEX$_US,FEX$.IUSA
moodys,USA Retail Sales and Food Services excluding Motor Vehicle and Parts,,,Level,USD,1000000000,FRTFSX_US,FRTFSX.IUSA
moodys,USA PPI,,,Level,,,FXPPI000000_US,FXPPI000000.IUSA
moodys,USA Corporate Profits,,,Level,USD,1000000000,FZ_US,FZ.IUSA
moodys,Oil Price BRENT,,,Level,USD,,FCPIFICEBOIU_US,FCPIFICEBOIU.IUSA
moodys,USA Farm Prices,,,Level,,,FCPFR_US,FCPFR.IUSA
moodys,USD 11th District Cost of Funds,,Interest Rate,Percentage,,,FRCOFI11_US,FRCOFI11.IUSA
moodys,US Treasury 3 Year,,Interest Rate,Percentage,,,FRGT3Y_US,FRGT3Y.IUSA
moodys,USD Swap Rate 4 Year,,Interest Rate,Percentage,,,FIRSWP4YQ_US,FIRSWP4YQ.IUSA
moodys,USD Swap Rate 5 Year,,Interest Rate,Percentage,,,FIRSWP5YQ_US,FIRSWP5YQ.IUSA
moodys,USD Swap Rate 7 Year,,Interest Rate,Percentage,,,FIRSWP7YQ_US,FIRSWP7YQ.IUSA
moodys,USD Swap Rate 10 Year,,Interest Rate,Percentage,,,FIRSWP10YQ_US,FIRSWP10YQ.IUSA
moodys,USD Swap Rate 30 Year,,Interest Rate,Percentage,,,FIRSWP30YQ_US,FIRSWP30YQ.IUSA
moodys,US Treasury 2 Year,,Interest Rate,Percentage,,,FRGT2Y_US,FRGT2Y.IUSA
moodys,US Treasury 7 Year,,Interest Rate,Percentage,,,FRGT7Y_US,FRGT7Y.IUSA
moodys,US Treasury 20 Year,,Interest Rate,Percentage,,,FRGT20Y_US,FRGT20Y.IUSA
moodys,US Treasury 30 Year,,Interest Rate,Percentage,,,FRGT30Y_US,FRGT30Y.IUSA
moodys,US Treasury 1 Month,,Interest Rate,Percentage,,,FRTB1MQ_US,FRTB1MQ.IUSA
moodys,USA CRE Price Index Growth,,,Level,,,(ANNPCT(FZFL075035503Q_US)),(ANNPCT(FZFL075035503Q.IUSA))
moodys,USA Nonfarm Employment Growth,,,Percentage,,,(ANNPCT(FET_US)),(ANNPCT(FET.IUSA))
moodys,USA Number of Households Growth,,,Percentage,,,(ANNPCT(FHHOLDQ_US)),(ANNPCT(FHHOLDQ.IUSA))
moodys,USA Home Price Growth,,,Percentage,,,(ANNPCT(FHOFHOPIQ_US)),(ANNPCT(FHOFHOPIQ.IUSA))
moodys,USA Population Growth,,,Percentage,,,(ANNPCT(FPOPQ_US)),(ANNPCT(FPOPQ.IUSA))
moodys,USA Retail Sales and Food Services Growth,,,Percentage,,,(ANNPCT(FRTFS_US)),(ANNPCT(FRTFS.IUSA))
moodys,USA Nominal Personal Income Growth,,,Percentage,,,(ANNPCT(FYPQ_US)),(ANNPCT(FYPQ.IUSA))
moodys,USA CRE Market Vacancy Rate,,,,,,,
moodys,United Arab Emirates GDP,,,Level,AED,1000000000,FGDP$_IARE,FGDPL$Q.IARE
moodys,Argentina GDP,,,Level,ARS,1000000000,FGDP$_IARG,FGDPL$Q.IARG
moodys,Australia GDP,,,Level,AUD,1000000000,FGDP$_IAUS,FGDPL$Q.IAUS
moodys,Austria GDP,,,Level,EUR,1000000000,FGDP$_IAUT,FGDPL$Q.IAUT
moodys,Belgium GDP,,,Level,EUR,1000000000,FGDP$_IBEL,FGDPL$Q.IBEL
moodys,Bulgaria GDP,,,Level,BGN,1000000000,FGDP$_IBGR,FGDPL$Q.IBGR
moodys,Bahrain GDP,,,Level,,,FGDP$_IBHR,FGDPL$Q.IBHR
moodys,Brazil GDP,,,Level,BRL,1000000000,FGDP$_IBRA,FGDPL$Q.IBRA
moodys,Botswana GDP,,,Level,,,FGDP$_IBWA,FGDPL$Q.IBWA
moodys,Canada GDP,,,Level,CAD,1000000000,FGDP$_ICAN,FGDPL$Q.ICAN
moodys,Switzerland GDP,,,Level,CHF,1000000000,FGDP$_ICHE,FGDPL$Q.ICHE
moodys,Chile GDP,,,Level,CLP,1000000000,FGDP$_ICHL,FGDPL$Q.ICHL
moodys,China GDP,,,Level,CNY,1000000000,FGDP$_ICHN,FGDPL$Q.ICHN
moodys,Democratic Republic of Congo GDP,,,Level,,,FGDP$_ICOD,FGDPL$Q.ICOD
moodys,Colombia GDP,,,Level,COP,1000000000,FGDP$_ICOL,FGDPL$Q.ICOL
moodys,Cyprus GDP,,,Level,EUR,1000000000,FGDP$_ICYP,FGDPL$Q.ICYP
moodys,Czech Republic GDP,,,Level,CZK,1000000000,FGDP$_ICZE,FGDPL$Q.ICZE
moodys,Germany GDP,,,Level,EUR,1000000000,FGDP$_IDEU,FGDPL$Q.IDEU
moodys,Denmark GDP,,,Level,DKK,1000000000,FGDP$_IDNK,FGDPL$Q.IDNK
moodys,Algeria GDP,,,Level,,,FGDP$_IDZA,FGDPL$Q.IDZA
moodys,Egypt GDP,,,Level,,,FGDP$_IEGY,FGDPL$Q.IEGY
moodys,Spain GDP,,,Level,EUR,1000000000,FGDP$_IESP,FGDPL$Q.IESP
moodys,Estonia GDP,,,Level,EUR,1000000000,FGDP$_IEST,FGDPL$Q.IEST
moodys,Finland GDP,,,Level,EUR,1000000000,FGDP$_IFIN,FGDPL$Q.IFIN
moodys,France GDP,,,Level,EUR,1000000000,FGDP$_IFRA,FGDPL$Q.IFRA
moodys,United Kingdom GDP,,,Level,GBP,1000000000,FGDP$_IGBR,FGDPL$Q.IGBR
moodys,Ghana GDP,,,Level,,,FGDP$_IGHA,FGDPL$Q.IGHA
moodys,Guinea GDP,,,Level,,,FGDP$_IGIN,FGDPL$Q.IGIN
moodys,Gambia GDP,,,Level,,,FGDP$_IGMB,FGDPL$Q.IGMB
moodys,Greece GDP,,,Level,EUR,1000000000,FGDP$_IGRC,FGDPL$Q.IGRC
moodys,Hong Kong GDP,,,Level,HKD,1000000000,FGDP$_IHKG,FGDPL$Q.IHKG
moodys,Croatia GDP,,,Level,HRK,1000000000,FGDP$_IHRV,FGDPL$Q.IHRV
moodys,Hungary GDP,,,Level,HUF,1000000000,FGDP$_IHUN,FGDPL$Q.IHUN
moodys,Indonesia GDP,,,Level,IDR,1000000000,FGDP$_IIDN,FGDPL$Q.IIDN
moodys,India GDP,,,Level,INR,1000000000,FGDP$_IIND,FGDPL$Q.IIND
moodys,Ireland GDP,,,Level,EUR,1000000000,FGDP$_IIRL,FGDPL$Q.IIRL
moodys,Iraq GDP,,,Level,,,FGDP$_IIRQ,FGDPL$Q.IIRQ
moodys,Israel GDP,,,Level,ILS,1000000000,FGDP$_IISR,FGDPL$Q.IISR
moodys,Italy GDP,,,Level,EUR,1000000000,FGDP$_IITA,FGDPL$Q.IITA
moodys,Jordan GDP,,,Level,,,FGDP$_IJOR,FGDPL$Q.IJOR
moodys,Japan GDP,,,Level,JPY,1000000000,FGDP$_IJPN,FGDPL$Q.IJPN
moodys,Kenya GDP,,,Level,,,FGDP$_IKEN,FGDPL$Q.IKEN
moodys,Korea GDP,,,Level,KRW,1000000000,FGDP$_IKOR,FGDPL$Q.IKOR
moodys,Kuwait GDP,,,Level,,,FGDP$_IKWT,FGDPL$Q.IKWT
moodys,Lebanon GDP,,,Level,,,FGDP$_ILBN,FGDPL$Q.ILBN
moodys,Lithuania GDP,,,Level,EUR,1000000000,FGDP$_ILTU,FGDPL$Q.ILTU
moodys,Luxembourg GDP,,,Level,EUR,1000000000,FGDP$_ILUX,FGDPL$Q.ILUX
moodys,Latvia GDP,,,Level,EUR,1000000000,FGDP$_ILVA,FGDPL$Q.ILVA
moodys,Mexico GDP,,,Level,MXN,1000000000,FGDP$_IMEX,FGDPL$Q.IMEX
moodys,Malta GDP,,,Level,EUR,1000000000,FGDP$_IMLT,FGDPL$Q.IMLT
moodys,Mozambique GDP,,,Level,,,FGDP$_IMOZ,FGDPL$Q.IMOZ
moodys,Mauritius GDP,,,Level,,,FGDP$_IMUS,FGDPL$Q.IMUS
moodys,Malaysia GDP,,,Level,MYR,1000000000,FGDP$_IMYS,FGDPL$Q.IMYS
moodys,Nigeria GDP,,,Level,,,FGDP$_INGA,FGDPL$Q.INGA
moodys,Netherlands GDP,,,Level,EUR,1000000000,FGDP$_INLD,FGDPL$Q.INLD
moodys,Norway GDP,,,Level,NOK,1000000000,FGDP$_INOR,FGDPL$Q.INOR
moodys,New Zealand GDP,,,Level,NZD,1000000000,FGDP$_INZL,FGDPL$Q.INZL
moodys,Oman GDP,,,Level,,,FGDP$_IOMN,FGDPL$Q.IOMN
moodys,Peru GDP,,,Level,PEN,1000000000,FGDP$_IPER,FGDPL$Q.IPER
moodys,Philippines GDP,,,Level,PHP,1000000000,FGDP$_IPHL,FGDPL$Q.IPHL
moodys,Poland GDP,,,Level,PLN,1000000000,FGDP$_IPOL,FGDPL$Q.IPOL
moodys,Portugal GDP,,,Level,EUR,1000000000,FGDP$_IPRT,FGDPL$Q.IPRT
moodys,Qatar GDP,,,Level,,,FGDP$_IQAT,FGDPL$Q.IQAT
moodys,Romania GDP,,,Level,RON,1000000000,FGDP$_IROU,FGDPL$Q.IROU
moodys,Russian Federation GDP,,,Level,RUB,1000000000,FGDP$_IRUS,FGDPL$Q.IRUS
moodys,Saudi Arabia GDP,,,Level,SAR,1000000000,FGDP$_ISAU,FGDPL$Q.ISAU
moodys,Senegal GDP,,,Level,,,FGDP$_ISEN,FGDPL$Q.ISEN
moodys,Singapore GDP,,,Level,SGD,1000000000,FGDP$_ISGP,FGDPL$Q.ISGP
moodys,Sierra Leone GDP,,,Level,,,FGDP$_ISLE,FGDPL$Q.ISLE
moodys,Slovakia GDP,,,Level,EUR,1000000000,FGDP$_ISVK,FGDPL$Q.ISVK
moodys,Slovenia GDP,,,Level,EUR,1000000000,FGDP$_ISVN,FGDPL$Q.ISVN
moodys,Sweden GDP,,,Level,SEK,1000000000,FGDP$_ISWE,FGDPL$Q.ISWE
moodys,Seychelles GDP,,,Level,,,FGDP$_ISYC,FGDPL$Q.ISYC
moodys,Thailand GDP,,,Level,THB,1000000000,FGDP$_ITHA,FGDPL$Q.ITHA
moodys,Tunisia GDP,,,Level,,,FGDP$_ITUN,FGDPL$Q.ITUN
moodys,Turkey GDP,,,Level,TRY,1000000000,FGDP$_ITUR,FGDPL$Q.ITUR
moodys,Taiwan GDP,,,Level,TWD,1000000000,FGDP$_ITWN,FGDPL$Q.ITWN
moodys,Tanzania GDP,,,Level,,,FGDP$_ITZA,FGDPL$Q.ITZA
moodys,Uganda GDP,,,Level,,,FGDP$_IUGA,FGDPL$Q.IUGA
moodys,Ukraine GDP,,,Level,UAH,1000000000,FGDP$_IUKR,FGDPL$Q.IUKR
moodys,Uruguay GDP,,,Level,UYU,1000000000,FGDP$_IURY,FGDPL$Q.IURY
moodys,Venezuela GDP,,,Level,VEF,1000000000,FGDP$_IVEN,FGDPL$Q.IVEN
moodys,South Africa GDP,,,Level,ZAR,1000000000,FGDP$_IZAF,FGDPL$Q.IZAF
moodys,Zambia GDP,,,Level,,,FGDP$_IZMB,FGDPL$Q.IZMB
moodys,United Arab Emirates Unemployment Rate,,,Percentage,,,FLBR_IARE,FLBRQ.IARE
moodys,Argentina Unemployment Rate,,,Percentage,,,FLBR_IARG,FLBRQ.IARG
moodys,Australia Unemployment Rate,,,Percentage,,,FLBR_IAUS,FLBRQ.IAUS
moodys,Austria Unemployment Rate,,,Percentage,,,FLBR_IAUT,FLBRQ.IAUT
moodys,Belgium Unemployment Rate,,,Percentage,,,FLBR_IBEL,FLBRQ.IBEL
moodys,Bulgaria Unemployment Rate,,,Percentage,,,FLBR_IBGR,FLBRQ.IBGR
moodys,Bahrain Unemployment Rate,,,Percentage,,,FLBR_IBHR,FLBRQ.IBHR
moodys,Brazil Unemployment Rate,,,Percentage,,,FLBR_IBRA,FLBRQ.IBRA
moodys,Botswana Unemployment Rate,,,Percentage,,,FLBR_IBWA,FLBRQ.IBWA
moodys,Canada Unemployment Rate,,,Percentage,,,FLBR_ICAN,FLBRQ.ICAN
moodys,Switzerland Unemployment Rate,,,Percentage,,,FLBR_ICHE,FLBRQ.ICHE
moodys,Chile Unemployment Rate,,,Percentage,,,FLBR_ICHL,FLBRQ.ICHL
moodys,China Unemployment Rate,,,Percentage,,,FLBR_ICHN,FLBRQ.ICHN
moodys,Colombia Unemployment Rate,,,Percentage,,,FLBR_ICOL,FLBRQ.ICOL
moodys,Cyprus Unemployment Rate,,,Percentage,,,FLBR_ICYP,FLBRQ.ICYP
moodys,Czech Republic Unemployment Rate,,,Percentage,,,FLBR_ICZE,FLBRQ.ICZE
moodys,Germany Unemployment Rate,,,Percentage,,,FLBR_IDEU,FLBRQ.IDEU
moodys,Denmark Unemployment Rate,,,Percentage,,,FLBR_IDNK,FLBRQ.IDNK
moodys,Algeria Unemployment Rate,,,Percentage,,,FLBR_IDZA,FLBRQ.IDZA
moodys,Egypt Unemployment Rate,,,Percentage,,,FLBR_IEGY,FLBRQ.IEGY
moodys,Spain Unemployment Rate,,,Percentage,,,FLBR_IESP,FLBRQ.IESP
moodys,Estonia Unemployment Rate,,,Percentage,,,FLBR_IEST,FLBRQ.IEST
moodys,Eurozone Unemployment Rate,,,Percentage,,,FLBR_IEUZN,FLBRQ.IEUZN
moodys,Finland Unemployment Rate,,,Percentage,,,FLBR_IFIN,FLBRQ.IFIN
moodys,France Unemployment Rate,,,Percentage,,,FLBR_IFRA,FLBRQ.IFRA
moodys,United Kingdom Unemployment Rate,,,Percentage,,,FLBR_IGBR,FLBRQ.IGBR
moodys,Ghana Unemployment Rate,,,Percentage,,,FLBR_IGHA,FLBRQ.IGHA
moodys,Greece Unemployment Rate,,,Percentage,,,FLBR_IGRC,FLBRQ.IGRC
moodys,Hong Kong Unemployment Rate,,,Percentage,,,FLBR_IHKG,FLBRQ.IHKG
moodys,Croatia Unemployment Rate,,,Percentage,,,FLBR_IHRV,FLBRQ.IHRV
moodys,Hungary Unemployment Rate,,,Percentage,,,FLBR_IHUN,FLBRQ.IHUN
moodys,Indonesia Unemployment Rate,,,Percentage,,,FLBR_IIDN,FLBRQ.IIDN
moodys,India Unemployment Rate,,,Percentage,,,FLBR_IIND,FLBRQ.IIND
moodys,Ireland Unemployment Rate,,,Percentage,,,FLBR_IIRL,FLBRQ.IIRL
moodys,Iraq Unemployment Rate,,,Percentage,,,FLBR_IIRQ,FLBRQ.IIRQ
moodys,Israel Unemployment Rate,,,Percentage,,,FLBR_IISR,FLBRQ.IISR
moodys,Italy Unemployment Rate,,,Percentage,,,FLBR_IITA,FLBRQ.IITA
moodys,Jordan Unemployment Rate,,,Percentage,,,FLBR_IJOR,FLBRQ.IJOR
moodys,Japan Unemployment Rate,,,Percentage,,,FLBR_IJPN,FLBRQ.IJPN
moodys,Kenya Unemployment Rate,,,Percentage,,,FLBR_IKEN,FLBRQ.IKEN
moodys,Korea Unemployment Rate,,,Percentage,,,FLBR_IKOR,FLBRQ.IKOR
moodys,Kuwait Unemployment Rate,,,Percentage,,,FLBR_IKWT,FLBRQ.IKWT
moodys,Lebanon Unemployment Rate,,,Percentage,,,FLBR_ILBN,FLBRQ.ILBN
moodys,Lithuania Unemployment Rate,,,Percentage,,,FLBR_ILTU,FLBRQ.ILTU
moodys,Luxembourg Unemployment Rate,,,Percentage,,,FLBR_ILUX,FLBRQ.ILUX
moodys,Latvia Unemployment Rate,,,Percentage,,,FLBR_ILVA,FLBRQ.ILVA
moodys,Mexico Unemployment Rate,,,Percentage,,,FLBR_IMEX,FLBRQ.IMEX
moodys,Malta Unemployment Rate,,,Percentage,,,FLBR_IMLT,FLBRQ.IMLT
moodys,Mauritius Unemployment Rate,,,Percentage,,,FLBR_IMUS,FLBRQ.IMUS
moodys,Malaysia Unemployment Rate,,,Percentage,,,FLBR_IMYS,FLBRQ.IMYS
moodys,Nigeria Unemployment Rate,,,Percentage,,,FLBR_INGA,FLBRQ.INGA
moodys,Netherlands Unemployment Rate,,,Percentage,,,FLBR_INLD,FLBRQ.INLD
moodys,Norway Unemployment Rate,,,Percentage,,,FLBR_INOR,FLBRQ.INOR
moodys,New Zealand Unemployment Rate,,,Percentage,,,FLBR_INZL,FLBRQ.INZL
moodys,Oman Unemployment Rate,,,Percentage,,,FLBR_IOMN,FLBRQ.IOMN
moodys,Peru Unemployment Rate,,,Percentage,,,FLBR_IPER,FLBRQ.IPER
moodys,Philippines Unemployment Rate,,,Percentage,,,FLBR_IPHL,FLBRQ.IPHL
moodys,Poland Unemployment Rate,,,Percentage,,,FLBR_IPOL,FLBRQ.IPOL
moodys,Portugal Unemployment Rate,,,Percentage,,,FLBR_IPRT,FLBRQ.IPRT
moodys,Qatar Unemployment Rate,,,Percentage,,,FLBR_IQAT,FLBRQ.IQAT
moodys,Romania Unemployment Rate,,,Percentage,,,FLBR_IROU,FLBRQ.IROU
moodys,Russian Federation Unemployment Rate,,,Percentage,,,FLBR_IRUS,FLBRQ.IRUS
moodys,Saudi Arabia Unemployment Rate,,,Percentage,,,FLBR_ISAU,FLBRQ.ISAU
moodys,Singapore Unemployment Rate,,,Percentage,,,FLBR_ISGP,FLBRQ.ISGP
moodys,Slovakia Unemployment Rate,,,Percentage,,,FLBR_ISVK,FLBRQ.ISVK
moodys,Slovenia Unemployment Rate,,,Percentage,,,FLBR_ISVN,FLBRQ.ISVN
moodys,Sweden Unemployment Rate,,,Percentage,,,FLBR_ISWE,FLBRQ.ISWE
moodys,Seychelles Unemployment Rate,,,Percentage,,,FLBR_ISYC,FLBRQ.ISYC
moodys,Thailand Unemployment Rate,,,Percentage,,,FLBR_ITHA,FLBRQ.ITHA
moodys,Tunisia Unemployment Rate,,,Percentage,,,FLBR_ITUN,FLBRQ.ITUN
moodys,Turkey Unemployment Rate,,,Percentage,,,FLBR_ITUR,FLBRQ.ITUR
moodys,Taiwan Unemployment Rate,,,Percentage,,,FLBR_ITWN,FLBRQ.ITWN
moodys,Tanzania Unemployment Rate,,,Percentage,,,FLBR_ITZA,FLBRQ.ITZA
moodys,Ukraine Unemployment Rate,,,Percentage,,,FLBR_IUKR,FLBRQ.IUKR
moodys,Uruguay Unemployment Rate,,,Percentage,,,FLBR_IURY,FLBRQ.IURY
moodys,Venezuela Unemployment Rate,,,Percentage,,,FLBR_IVEN,FLBRQ.IVEN
moodys,South Africa Unemployment Rate,,,Percentage,,,FLBR_IZAF,FLBRQ.IZAF
moodys,United Arab Emirates Equity,,,Level,,,FSPI_IARE,FSTOCKPQ.IARE
moodys,Argentina Equity,,,Level,,,FSPI_IARG,FSTOCKPQ.IARG
moodys,Australia Equity,,,Level,,,FSPI_IAUS,FSTOCKPQ.IAUS
moodys,Austria Equity,,,Level,,,FSPI_IAUT,FSTOCKPQ.IAUT
moodys,Belgium Equity,,,Level,,,FSPI_IBEL,FSTOCKPQ.IBEL
moodys,Bulgaria Equity,,,Level,,,FSPI_IBGR,FSTOCKPQ.IBGR
moodys,Bahrain Equity,,,Level,,,FSPI_IBHR,FSTOCKPQ.IBHR
moodys,Brazil Equity,,,Level,,,FSPI_IBRA,FSTOCKPQ.IBRA
moodys,Botswana Equity,,,Level,,,FSPI_IBWA,FSTOCKPQ.IBWA
moodys,Canada Equity,,,Level,,,FSPI_ICAN,FSTOCKPQ.ICAN
moodys,Switzerland Equity,,,Level,,,FSPI_ICHE,FSTOCKPQ.ICHE
moodys,Chile Equity,,,Level,,,FSPI_ICHL,FSTOCKPQ.ICHL
moodys,China Equity,,,Level,,,FSPI_ICHN,FSTOCKPQ.ICHN
moodys,Colombia Equity,,,Level,,,FSPI_ICOL,FSTOCKPQ.ICOL
moodys,Czech Republic Equity,,,Level,,,FSPI_ICZE,FSTOCKPQ.ICZE
moodys,Germany Equity,,,Level,,,FSPI_IDEU,FSTOCKPQ.IDEU
moodys,Denmark Equity,,,Level,,,FSPI_IDNK,FSTOCKPQ.IDNK
moodys,Egypt Equity,,,Level,,,FSPI_IEGY,FSTOCKPQ.IEGY
moodys,Spain Equity,,,Level,,,FSPI_IESP,FSTOCKPQ.IESP
moodys,Estonia Equity,,,Level,,,FSPI_IEST,FSTOCKPQ.IEST
